homicidios_femeninos.csv,,,,,,Analisis_Temporal,,,,,Estados_Cambio,,,,,,Top_Estados_Verificacion,
entidad,anio,tasa,entidad_etiqueta,fecha,,anio,Tasa_Promedio,Tasa_Total,Tasa_Maxima,,Estado,Tasa_1990-1994,Tasa_2019-2023,Cambio_Absoluto,Cambio_Porcentual,,Estado,Tasa_Promedio_2020-2023
Jalisco,1991,2.17,Jalisco,1991-01-01,,,,,,,,,,,,,,
México,1991,9.08,Estado de México,1991-01-01,,,,,,,,,,,,,,
Michoacán,1991,3.57,Michoacán,1991-01-01,,,,,,,,,,,,,,
Morelos,1991,3.08,Morelos,1991-01-01,,,,,,,,,,,,,,
Nayarit,1991,2.55,Nayarit,1991-01-01,,,,,,,,,,,,,,
Nuevo León,1991,0.61,Nuevo León,1991-01-01,,,,,,,,,,,,,,
Oaxaca,1991,5.14,Oaxaca,1991-01-01,,,,,,,,,,,,,,
Puebla,1991,2.05,Puebla,1991-01-01,,,,,,,,,,,,,,
Querétaro,1991,1.22,Querétaro,1991-01-01,,,,,,,,,,,,,,
Quintana Roo,1991,1.51,Quintana Roo,1991-01-01,,,,,,,,,,,,,,
San Luis Potosí,1991,1.13,San Luis Potosí,1991-01-01,,,,,,,,,,,,,,
Sinaloa,1991,2.18,Sinaloa,1991-01-01,,,,,,,,,,,,,,
Sonora,1991,1.89,Sonora,1991-01-01,,,,,,,,,,,,,,
Tabasco,1991,2.52,Tabasco,1991-01-01,,,,,,,,,,,,,,
Tamaulipas,1991,1.93,Tamaulipas,1991-01-01,,,,,,,,,,,,,,
